Job Title,Company,Location,Expiry Date,Job Description
Sales and Marketing - ICT Sector,N/A,Harare,23-May-25,N/A
Medical Gas Pipe System Technician (MGPS),African Gas Solutions,Harare,13-Jun-25,N/A
Accountant,Saltrama Plastics,Harare,21-May-25,N/A
"Mathematics and Business Studies,& Geography and History teachers",Cornerstone School,Chitungwiza,15-May-25,N/A
Venue Coordinator,Pro Events,Harare,16-May-25,N/A
Aluminium fabricator,N/A,Harare,15-May-25,N/A
Warehouse Assistant Manager : Xugong Zimbabwe Pvt Ltd,N/A,Harare,8-Jun-25,N/A
Diesel Mechanic Engineer x 2: Xugong Zimbabwe Pvt Ltd,N/A,Harare,8-Jun-25,N/A
Sales and Digital Marketing Officer,N/A,Harare,15-May-25,N/A
Sales and Marketing Officer,N/A,Harare,15-May-25,N/A
